Compound,CID,mol_idx,Regno,Chemotype,Smiles,smiles_nosalt
TPKI-43,15949613,96,0,4-anilino or phenoxy pyrrolopyrimidine,CN1C=CC2=C1C(OC1=CC=C(NC(=O)NC3=CC=CC(=C3)C(F)(F)F)C(F)=C1)=NC=N2,Cn1ccc2ncnc(Oc3ccc(NC(=O)Nc4cccc(C(F)(F)F)c4)c(F)c3)c21
TPKI-44,57386062,97,0,6-phenoxy-imidazopyridazine,CC(=O)NC1=CN2N=C(OC3=CC=CC(NC(=O)C4=CC=CC(=C4)C(F)(F)F)=C3)C=CC2=N1,CC(=O)Nc1cn2nc(Oc3cccc(NC(=O)c4cccc(C(F)(F)F)c4)c3)ccc2n1
TPKI-45,57386319,98,0,6-phenoxy-imidazopyridazine,FC(F)(F)C1=CC=CC=C1C(=O)NC1=CC(OC2=NN3C=C(NC(=O)C4CC4)N=C3C=C2)=CC=C1,O=C(Nc1cccc(Oc2ccc3nc(NC(=O)C4CC4)cn3n2)c1)c1ccccc1C(F)(F)F
TPKI-46,57386570,99,0,6-phenoxy-imidazopyridazine,COC1=CC(=CC=C1)C(=O)NC1=CC=CC(OC2=NN3C=C(NC(=O)C4CC4)N=C3C=C2)=C1,COc1cccc(C(=O)Nc2cccc(Oc3ccc4nc(NC(=O)C5CC5)cn4n3)c2)c1
TPKI-47,57387590,100,0,phenoxy-thiazolo-pyridines,O=C(NC1=NC2=C(S1)N=C(OC1=CC(NC(=O)C3=CC=CC(=C3)C3(CC3)C#N)=CC=C1)C=C2)C1CC1,N#CC1(c2cccc(C(=O)Nc3cccc(Oc4ccc5nc(NC(=O)C6CC6)sc5n4)c3)c2)CC1
TPKI-48,71568837,101,0,pyrazolobenzothiazines,CCC1=CC=C(C=C1)C1=CC2=C(C=C1)N(C)S(=O)(=O)C1=CNN=C21,CCc1ccc(-c2ccc3c(c2)-c2n[nH]cc2S(=O)(=O)N3C)cc1
TPKI-49,71567007,102,0,pyrazolobenzothiazines,CN1C2=C(C=C(C=C2)C2=CC=C(C=C2)C(N)=O)C2=C(C=NN2)S1(=O)=O,CN1c2ccc(-c3ccc(C(N)=O)cc3)cc2-c2[nH]ncc2S1(=O)=O
TPKI-50,71567008,103,0,pyrazolobenzothiazines,CN1C2=C(C=C(C=C2)C2=CC=C(C=C2)C(=O)NCCO)C2=C(C=NN2)S1(=O)=O,CN1c2ccc(-c3ccc(C(=O)NCCO)cc3)cc2-c2[nH]ncc2S1(=O)=O
TPKI-51,71567006,104,0,pyrazolobenzothiazines,CCC1=CC=C(C=C1)C1=CC2=C(C=C1)N(C)S(=O)(=O)C1=C2N(C)N=C1,CCc1ccc(-c2ccc3c(c2)-c2c(cnn2C)S(=O)(=O)N3C)cc1
TPKI-52,71567148,105,0,pyrazolobenzothiazines,CCC1=CC=C(C=C1)C1=CC=C2N(C)S(=O)(=O)C3=CN(C)N=C3C2=C1,CCc1ccc(-c2ccc3c(c2)-c2nn(C)cc2S(=O)(=O)N3C)cc1
TPKI-53,71567144,106,0,pyrazolobenzothiazines,CN1N=CC2=C1C1=C(C=CC(CNC3=CC=C(F)C=C3)=C1)N(C)S2(=O)=O,CN1c2ccc(CNc3ccc(F)cc3)cc2-c2c(cnn2C)S1(=O)=O
TPKI-54,71567146,107,0,pyrazolobenzothiazines,CN1N=CC2=C1C1=C(C=CC(NCC3=CC=C(F)C=C3)=C1)N(C)S2(=O)=O,CN1c2ccc(NCc3ccc(F)cc3)cc2-c2c(cnn2C)S1(=O)=O
TPKI-55,59175651,108,0,2-amino-imidazopyridine,CC(C)(C)C1=CC=C(C=C1)C(=O)NC1=CN2C=C(Cl)C=CC2=N1,CC(C)(C)c1ccc(C(=O)Nc2cn3cc(Cl)ccc3n2)cc1
TPKI-56,59175418,109,0,2-amino-imidazopyridine,CNCC1=CN2C=C(NC(=O)C3=CC=C(C=C3)C(C)(C)C)N=C2C=C1,CNCc1ccc2nc(NC(=O)c3ccc(C(C)(C)C)cc3)cn2c1
TPKI-57,59175319,110,0,2-amino-imidazopyridine,CC(C)(C)C1=CC=C(C=C1)C(=O)NC1=CN2C=C(C=CC2=N1)C1=CC=CC=C1,CC(C)(C)c1ccc(C(=O)Nc2cn3cc(-c4ccccc4)ccc3n2)cc1
TPKI-58,59175292,111,0,2-amino-imidazopyridine,CC(C)(C)C1=CC=C(C=C1)C(=O)NC1=CN2C=C(C=CC2=N1)C1=CC=CN=C1,CC(C)(C)c1ccc(C(=O)Nc2cn3cc(-c4cccnc4)ccc3n2)cc1
TPKI-59,24944925,112,0,2-amino-imidazopyridine,CC(C)(C)C1=CC=C(C=C1)C(=O)NC1=CN2C=C(C=CC2=N1)N1C=CN=C1,CC(C)(C)c1ccc(C(=O)Nc2cn3cc(-n4ccnc4)ccc3n2)cc1
TPKI-60,56851433,113,0,4-anilino or phenoxy pyrrolopyrimidine,ClC1=C(OC2=CC=C(C=C2)C#N)C=CC(NC2=NC=NC3=C2NC=C3)=C1,N#Cc1ccc(Oc2ccc(Nc3ncnc4cc[nH]c34)cc2Cl)cc1
TPKI-61,56851594,114,0,4-anilino or phenoxy pyrrolopyrimidine,FC1=CC(COC2=CC=C(NC3=NC=NC4=C3NC=C4)C=C2Cl)=CC=C1,Fc1cccc(COc2ccc(Nc3ncnc4cc[nH]c34)cc2Cl)c1
TPKI-62,56849555,115,0,4-anilino or phenoxy pyrrolopyrimidine,ClC1=C(OCC2=NC=CC=C2)C=CC(NC2=NC=NC3=C2NC=C3)=C1,Clc1cc(Nc2ncnc3cc[nH]c23)ccc1OCc1ccccn1
TPKI-63,56849556,116,0,4-anilino or phenoxy pyrrolopyrimidine,CC1=CC=C(OC2=C(C)C=C(NC3=NC=NC4=C3NC=C4)C=C2)C=N1,Cc1ccc(Oc2ccc(Nc3ncnc4cc[nH]c34)cc2C)cn1
TPKI-64,56849558,117,0,4-anilino or phenoxy pyrrolopyrimidine,CN1C=CC2=C1C(NC1=CC(Cl)=C(OC3=CC=CC(Cl)=C3)C=C1)=NC=N2,Cn1ccc2ncnc(Nc3ccc(Oc4cccc(Cl)c4)c(Cl)c3)c21
TPKI-65,56849703,118,0,4-anilino or phenoxy pyrrolopyrimidine,OCCOCCN1C=CC2=C1C(NC1=CC(Cl)=C(OC3=CC=CC(Cl)=C3)C=C1)=NC=N2,OCCOCCn1ccc2ncnc(Nc3ccc(Oc4cccc(Cl)c4)c(Cl)c3)c21
TPKI-66,56849850,119,0,4-anilino or phenoxy pyrrolopyrimidine,OCCC(=O)NCCN1C=CC2=C1C(NC1=CC(Cl)=C(OC3=CC=CC(=C3)C(F)(F)F)C=C1)=NC=N2,O=C(CCO)NCCn1ccc2ncnc(Nc3ccc(Oc4cccc(C(F)(F)F)c4)c(Cl)c3)c21
TPKI-67,52941625,120,0,4-anilino or phenoxy pyrrolopyrimidine,CN1C=CC2=C1C(OC1=CC=C(NC(=O)NC3=CC=CC(C)=C3)C=C1)=NC=N2,Cc1cccc(NC(=O)Nc2ccc(Oc3ncnc4ccn(C)c34)cc2)c1
TPKI-68,15949611,121,0,4-anilino or phenoxy pyrrolopyrimidine,CN1C=CC2=C1C(OC1=CC=C(NC(=O)NC3=CC=CC(=C3)C(F)(F)F)C(Cl)=C1)=NC=N2,Cn1ccc2ncnc(Oc3ccc(NC(=O)Nc4cccc(C(F)(F)F)c4)c(Cl)c3)c21
TPKI-69,52950146,122,0,4-anilino or phenoxy pyrrolopyrimidine,CN1C=CC2=C1C(OC1=CC=C(NC(=O)NC3=CC=CC=C3)C=C1)=NC=N2,Cn1ccc2ncnc(Oc3ccc(NC(=O)Nc4ccccc4)cc3)c21
TPKI-70,52942278,123,0,4-anilino or phenoxy pyrrolopyrimidine,CN1C=CC2=C1C(OC1=CC(=CC=C1)C(=O)NC1=CC=CC=C1)=NC=N2,Cn1ccc2ncnc(Oc3cccc(C(=O)Nc4ccccc4)c3)c21
TPKI-71,52947605,124,0,4-anilino or phenoxy pyrrolopyrimidine,CCCNC(=O)NC1=CC=C(OC2=NC=NC3=C2N(C)C=C3)C=C1,CCCNC(=O)Nc1ccc(Oc2ncnc3ccn(C)c23)cc1
TPKI-72,52946084,125,0,4-anilino or phenoxy pyrrolopyrimidine,CN1C=CC2=C1C(OC1=CC=C(NC3=NC4=C(N3)C=CC=C4)C=C1)=NC=N2,Cn1ccc2ncnc(Oc3ccc(Nc4nc5ccccc5[nH]4)cc3)c21
TPKI-73,52944922,126,0,4-anilino or phenoxy pyrrolopyrimidine,CN1C=CC2=C1C(OC1=CC=C(NC(=O)NC3=CC=CN=C3)C(Cl)=C1)=NC=N2,Cn1ccc2ncnc(Oc3ccc(NC(=O)Nc4cccnc4)c(Cl)c3)c21
TPKI-74,52943750,127,0,4-anilino or phenoxy pyrrolopyrimidine,CN1C=CC2=C1C(OC1=CC=C(NC(=O)NC3=CC=NC=C3)C(Cl)=C1)=NC=N2,Cn1ccc2ncnc(Oc3ccc(NC(=O)Nc4ccncc4)c(Cl)c3)c21
TPKI-75,52943829,128,0,4-anilino or phenoxy pyrrolopyrimidine,CN1C=CC2=C1C(OC1=CC=C(NC(=O)NC3=CN(N=C3)C(C)(C)C)C(Cl)=C1)=NC=N2,Cn1ccc2ncnc(Oc3ccc(NC(=O)Nc4cnn(C(C)(C)C)c4)c(Cl)c3)c21
TPKI-76,52942791,129,0,4-anilino or phenoxy pyrrolopyrimidine,CN1C=CC2=C1C(OC1=CC=C(NC(=O)NC3=NOC(=C3)C(C)(C)C)C(Cl)=C1)=NC=N2,Cn1ccc2ncnc(Oc3ccc(NC(=O)Nc4cc(C(C)(C)C)on4)c(Cl)c3)c21
TPKI-77,52946218,130,0,4-anilino or phenoxy pyrrolopyrimidine,CN1C=CC2=C1C(OC1=CC=C(NC(=O)NC3=CC(=CN=C3)C(F)(F)F)C(Cl)=C1)=NC=N2,Cn1ccc2ncnc(Oc3ccc(NC(=O)Nc4cncc(C(F)(F)F)c4)c(Cl)c3)c21
TPKI-78,52948666,131,0,4-anilino or phenoxy pyrrolopyrimidine,CN1C=CC2=C1C(OC1=CC=C(NC(=O)NC3=CC(=NC=C3)C(F)(F)F)C(Cl)=C1)=NC=N2,Cn1ccc2ncnc(Oc3ccc(NC(=O)Nc4ccnc(C(F)(F)F)c4)c(Cl)c3)c21
TPKI-79,68663586,132,0,benzofuran oxadiazole and analogues,COC1=CC=C(C=C1)C1=COC2=CC=C(C=C12)C1=NN=C(C)O1,COc1ccc(-c2coc3ccc(-c4nnc(C)o4)cc23)cc1
TPKI-80,44481212,133,0,benzofuran oxadiazole and analogues,CC(O)C1=CC=C(C=C1)C1=COC2=C1C=C(C=C2)C1=NN=C(C)O1,Cc1nnc(-c2ccc3occ(-c4ccc(C(C)O)cc4)c3c2)o1
TPKI-81,24855983,134,0,benzofuran oxadiazole and analogues,CCS(=O)C1=CC=C(C=C1)C1=COC2=C1C=C(C=C2)C1=NN=C(C)O1,CCS(=O)c1ccc(-c2coc3ccc(-c4nnc(C)o4)cc23)cc1
TPKI-82,44480949,135,0,benzofuran oxadiazole and analogues,CC1=NN=C(O1)C1=CC2=C(C=C1)N=CN2C1=CC=C(C=C1)S(C)=O,Cc1nnc(-c2ccc3ncn(-c4ccc(S(C)=O)cc4)c3c2)o1
TPKI-83,44481752,136,0,benzofuran oxadiazole and analogues,CC1=NN=C(O1)C1=CN2C(C=C1)=NC=C2C1=CC=C(C=C1)S(C)=O,Cc1nnc(-c2ccc3ncc(-c4ccc(S(C)=O)cc4)n3c2)o1
TPKI-84,44478382,137,0,benzofuran oxadiazole and analogues,CC1=NN=C(O1)C1=CC=C2OC=C(C2=N1)C1=CC=C(C=C1)S(C)=O,Cc1nnc(-c2ccc3occ(-c4ccc(S(C)=O)cc4)c3n2)o1
TPKI-85,44478652,138,0,benzofuran oxadiazole and analogues,CC1=NN=C(N1)C1=CC=C2OC=C(C2=C1)C1=CC=C(C=C1)S(C)=O,Cc1nnc(-c2ccc3occ(-c4ccc(S(C)=O)cc4)c3c2)[nH]1
TPKI-86,44481207,139,0,benzofuran oxadiazole and analogues,CC1=CC=C(N=N1)C1=CC=C2OC=C(C2=C1)C1=CC=C(C=C1)S(C)=O,Cc1ccc(-c2ccc3occ(-c4ccc(S(C)=O)cc4)c3c2)nn1
TPKI-87,44482290,140,0,benzofuran oxadiazole and analogues,CS(=O)C1=CC=C(C=C1)C1=COC2=CC=C(C=C12)C1=NNC(=O)O1,CS(=O)c1ccc(-c2coc3ccc(-c4n[nH]c(=O)o4)cc23)cc1
TPKI-88,44590237,141,0,benzofuran oxadiazole and analogues,FC1=CC(CSC2=NN=C(O2)C2=CC3=C(OCC3)C=C2)=CC=C1,Fc1cccc(CSc2nnc(-c3ccc4c(c3)CCO4)o2)c1
TPKI-89,44590238,142,0,benzofuran oxadiazole and analogues,COC1=CC=C(CSC2=NN=C(O2)C2=CC3=C(OCC3)C=C2)C=C1,COc1ccc(CSc2nnc(-c3ccc4c(c3)CCO4)o2)cc1
TPKI-90,44590414,143,0,benzofuran oxadiazole and analogues,FC1=CC(COC2=NN=C(O2)C2=CC3=C(OCC3)C=C2)=CC=C1,Fc1cccc(COc2nnc(-c3ccc4c(c3)CCO4)o2)c1
TPKI-91,23729136,144,0,benzofuran oxadiazole and analogues,COC1=CC=C(CSC2=NN=C(O2)C2=CC3=C(C=C2)N=CS3)C=C1C(F)(F)F,COc1ccc(CSc2nnc(-c3ccc4ncsc4c3)o2)cc1C(F)(F)F
TPKI-92,68664487,145,0,benzofuran oxadiazole and analogues,COC1=C(C=C(CSC2=NN=C(O2)C2=CN3C=CN=C3C=C2)C=C1)C(F)(F)F,COc1ccc(CSc2nnc(-c3ccc4nccn4c3)o2)cc1C(F)(F)F
TPKI-93,44590466,146,0,benzofuran oxadiazole and analogues,COC1=CC=C(C=C1)C1=COC2=C1C=C(C=C2)C1=NN=C(O1)SCC1=CC=C(OC)C(=C1)C(F)(F)F,COc1ccc(-c2coc3ccc(-c4nnc(SCc5ccc(OC)c(C(F)(F)F)c5)o4)cc23)cc1
TPKI-94,44590535,147,0,benzofuran oxadiazole and analogues,COC1=CC=C(C=C1)C1=COC2=C1C=C(C=C2)C1=NN=C(O1)SCC1=CC=CC(=C1)C#N,COc1ccc(-c2coc3ccc(-c4nnc(SCc5cccc(C#N)c5)o4)cc23)cc1
TPKI-95,10153026,148,0,isoquinolone,COC(=O)C1=C(C2=CC=CC=C2)C2=CC(Br)=CC=C2C(=O)N1CC1=CC=C(NC(=O)CCC(O)=O)C=C1,COC(=O)c1c(-c2ccccc2)c2cc(Br)ccc2c(=O)n1Cc1ccc(NC(=O)CCC(=O)O)cc1
TPKI-96,44451882,149,0,isoquinolone,COC(=O)C1=C(C2=CC=CC=C2)C2=CC(C)=CC=C2C(=O)N1CC1=CC=CC=C1,COC(=O)c1c(-c2ccccc2)c2cc(C)ccc2c(=O)n1Cc1ccccc1
TPKI-97,44451820,150,0,isoquinolone,COC(=O)C1=C(C2=CC=CC=C2)C2=CC(OC)=CC=C2C(=O)N1CC1=CC=CC=C1,COC(=O)c1c(-c2ccccc2)c2cc(OC)ccc2c(=O)n1Cc1ccccc1
TPKI-98,44451795,151,0,isoquinolone,COC(=O)C1=C(C2=CC=CC=C2)C2=CC(=CC=C2C(=O)N1CC1=CC=CC=C1)C(O)=O,COC(=O)c1c(-c2ccccc2)c2cc(C(=O)O)ccc2c(=O)n1Cc1ccccc1
TPKI-99,44451791,152,0,isoquinolone,COC(=O)C1=C(C2=CC=CC=C2)C2=CC(Cl)=CC=C2C(=O)N1CC1=CC=C(C=C1)S(C)(=O)=O,COC(=O)c1c(-c2ccccc2)c2cc(Cl)ccc2c(=O)n1Cc1ccc(S(C)(=O)=O)cc1
UNC10112604A,9872621,153,GW574783,4-anilino-quinazoline and analogues,Cl.CS(=O)(=O)CCNCc1ccc(o1)-c1ccc2ncnc(Nc3ccc(OCc4ccccc4)c(Cl)c3)c2c1,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5ccccc5)c(Cl)c4)c3c2)o1
UNC10112721A,10173796,154,GW779439,4-pyrimidinyl-azoles,CN1CCN(CC1)c1ccc(Nc2nccc(n2)-c2cnn3ncccc23)cc1C(F)(F)F,CN1CCN(c2ccc(Nc3nccc(-c4cnn5ncccc45)n3)cc2C(F)(F)F)CC1
UNC10112764A,6539626,155,GW824645,3-aryl-5-anilino pyrazole,Cl.NS(=O)(=O)c1cccc(Nc2cc(n[nH]2)-c2ccc(F)cc2)c1,NS(=O)(=O)c1cccc(Nc2cc(-c3ccc(F)cc3)n[nH]2)c1
UNC10112774A,10230568,156,GW683134,2-aminobenzimidazole,Cl.Fc1ccc(cc1NC(=O)Nc1ccc(Oc2ccc3[nH]c(NC(=O)c4ccco4)nc3c2)cc1)C(F)(F)F,O=C(Nc1ccc(Oc2ccc3[nH]c(NC(=O)c4ccco4)nc3c2)cc1)Nc1cc(C(F)(F)F)ccc1F
UNC10112792A,10113568,157,SB-707548,4-amino-3-aryl-thienopyridine and analogues,Cl.Nc1ncnc2occ(-c3ccc(NC(=O)Nc4cc(ccc4F)C(F)(F)F)cc3)c12,Nc1ncnc2occ(-c3ccc(NC(=O)Nc4cc(C(F)(F)F)ccc4F)cc3)c12
UNC10112830A,599038,158,SB-693162/GW549034,aminofurazan,CCn1c(nc2ccccc12)-c1nonc1N,CCn1c(-c2nonc2N)nc2ccccc21
UNC10126563B,156414,159,GW781483,4-anilino-quinazoline and analogues,Fc1ccc(Nc2ncnc3cc(OCCCN4CCOCC4)c(NC(=O)C=C)cc23)cc1Cl,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1
UNC10224985A,44526070,160,GSK1398467,Biphenylamide,Cc1ccc(NC(=O)c2ccc(Cl)cc2)cc1-c1ccc(cc1)C(=O)Nc1ccncc1,Cc1ccc(NC(=O)c2ccc(Cl)cc2)cc1-c1ccc(C(=O)Nc2ccncc2)cc1
UNC10224986A,44578566,161,GW810445,Biphenylamide,Fc1ccc(cc1-c1ccc(cc1)C(=O)NCC1CC1)C(=O)NC1CC1,O=C(NCC1CC1)c1ccc(-c2cc(C(=O)NC3CC3)ccc2F)cc1
UNC10224987A,53468037,162,GSK2608899,7-alkyl-5-aryl-4-aminopyrrolopyrimidine,COc1cccc(CC(=O)N2CCc3cc(ccc23)-c2cn(C)c3ncnc(N)c23)c1,COc1cccc(CC(=O)N2CCc3cc(-c4cn(C)c5ncnc(N)c45)ccc32)c1
UNC10224988A,44529220,163,GSK336735,4-pyrimidinyl_ortho-aryl_azoles,NS(=O)(=O)CCc1cccc(Nc2nccc(n2)-c2c(nn3ccccc23)-c2cccc(NC(=O)c3c(F)cccc3F)c2)c1,NS(=O)(=O)CCc1cccc(Nc2nccc(-c3c(-c4cccc(NC(=O)c5c(F)cccc5F)c4)nn4ccccc34)n2)c1
UNC10224989A,9836050,164,GW457859,4-pyridinyl_ortho-aryl_azoles,Cl.Cc1ccn2nc(c(-c3ccncc3)c2c1)-c1ccc(F)cc1,Cc1ccn2nc(-c3ccc(F)cc3)c(-c3ccncc3)c2c1
UNC10224990A,44529054,165,GSK306886,4-anilino-quinazoline and analogues,Cl.Fc1cccc(c1)S(=O)(=O)c1ccc(Nc2ncnc3cc(Br)sc23)cc1Cl,O=S(=O)(c1cccc(F)c1)c1ccc(Nc2ncnc3cc(Br)sc23)cc1Cl
UNC10224991A,56673516,166,GSK2008607,4-pyrimidinyl_ortho-aryl_azoles,CC(C)c1nc(c(s1)-c1ccnc(Nc2ccc(nc2)N2CCOCC2)n1)-c1cccc(NS(=O)(=O)c2c(F)cccc2F)c1F,CC(C)c1nc(-c2cccc(NS(=O)(=O)c3c(F)cccc3F)c2F)c(-c2ccnc(Nc3ccc(N4CCOCC4)nc3)n2)s1
UNC10224992A,44526073,167,GSK1398471,Biphenylamide,Cc1ccc(NC(=O)Nc2ccccc2)cc1-c1ccc(cc1)C(=O)Nc1ccncc1,Cc1ccc(NC(=O)Nc2ccccc2)cc1-c1ccc(C(=O)Nc2ccncc2)cc1
UNC10224993A,44526921,168,GSK1669917,2-anilino-4-aminopyrimidine,Cl.Cc1cc(nc(Nc2ccc(cc2)S(=O)(=O)N2CCOCC2)n1)N1Cc2ccccc2C1,Cc1cc(N2Cc3ccccc3C2)nc(Nc2ccc(S(=O)(=O)N3CCOCC3)cc2)n1
UNC10224994A,51354036,169,GSK2375584,3-Amino-6-aryl-indazole,CNc1nc(cc(n1)-c1ccc2c(N)n[nH]c2c1)N1C[C@H](OC[C@H]1C)C(=O)NC1CCCCC1,CNc1nc(-c2ccc3c(N)n[nH]c3c2)cc(N2C[C@@H](C(=O)NC3CCCCC3)OC[C@H]2C)n1
UNC10224995A,19879232,170,SKF-105942,4-pyridinyl_ortho-aryl_azoles,CS(=O)(=O)c1ccc(cc1)-c1nc2CCCn2c1-c1ccncc1,CS(=O)(=O)c1ccc(-c2nc3n(c2-c2ccncc2)CCC3)cc1
UNC10224997A,45269578,171,GW872411,2-aryl-4-anilino(pyridin-4-yl)-quinazoline and analogues,Cc1cccc(n1)-c1nc(Nc2ccnc(C)c2)c2ccccc2n1,Cc1cc(Nc2nc(-c3cccc(C)n3)nc3ccccc23)ccn1
UNC10224998A,44525926,172,GSK1379715,2-anilino-4-pyrrolidinopyrimidine,CCCc1ccc(cc1)S(=O)(=O)NC1CCN(C1)c1ccnc(Nc2ccc(F)cc2)n1,CCCc1ccc(S(=O)(=O)NC2CCN(c3ccnc(Nc4ccc(F)cc4)n3)C2)cc1
UNC10224999A,44532539,173,GW579362,"2,4-dianilinopyrimidine",Cl.Cc1ccc(Nc2ccnc(Nc3ccc4CS(=O)(=O)Cc4c3)n2)cc1O,Cc1ccc(Nc2ccnc(Nc3ccc4c(c3)CS(=O)(=O)C4)n2)cc1O
UNC10225000A,66561010,174,GSK2645446,4-amino-3-aryl-thienopyridine and analogues,Nc1ncnc2occ(-c3ccc4N(CCc4c3)C(=O)Cc3cc(F)ccc3F)c12,Nc1ncnc2occ(-c3ccc4c(c3)CCN4C(=O)Cc3cc(F)ccc3F)c12
UNC10225001A,10287409,175,SB-213663,4-pyridinyl_ortho-aryl_azoles,CS(=O)(=O)c1ccccc1-c1nc(c([nH]1)-c1ccncc1)-c1ccc(F)cc1,CS(=O)(=O)c1ccccc1-c1nc(-c2ccc(F)cc2)c(-c2ccncc2)[nH]1
UNC10225002A,6539606,176,SB-735464,3-acylamino-6-aryl-indazole,Fc1cccc(c1)-c1ccc2c(NC(=O)C3CC3)n[nH]c2c1,O=C(Nc1n[nH]c2cc(-c3cccc(F)c3)ccc12)C1CC1
UNC10225003A,53322416,177,GSK2189892,3-Amino-6-aryl-indazole,Cl.Nc1n[nH]c2cc(ccc12)-c1ccccn1,Nc1n[nH]c2cc(-c3ccccn3)ccc12
UNC10225004A,6539572,178,SB-711239,3-amino-6-aryl-pyrazolopyridine,COc1ccccc1-c1ccc2c(NC(=O)C3CC3)n[nH]c2n1,COc1ccccc1-c1ccc2c(NC(=O)C3CC3)n[nH]c2n1
UNC10225005A,60150509,179,GSK2344444,morpholino-triazolo-pyrimidinones,CC1CN(CCO1)c1cc(=O)n2nc(C)n(Cc3cccc(c3C)C(F)(F)F)c2n1,Cc1c(Cn2c(C)nn3c(=O)cc(N4CCOC(C)C4)nc23)cccc1C(F)(F)F
UNC10225006A,51355190,180,GSK2288359,3-Amino-6-aryl-indazole,OC(=O)C(F)(F)F.OC(=O)C(F)(F)F.Nc1n[nH]c2cc(ccc12)-c1cc(nc(N)n1)N1CCC[C@H](C1)C(=O)Nc1ccccc1,Nc1nc(-c2ccc3c(N)n[nH]c3c2)cc(N2CCC[C@@H](C(=O)Nc3ccccc3)C2)n1
UNC10225007A,44532201,181,GW440137,4-anilinoquinoline,Cl.N(c1ccc2[nH]ncc2c1)c1ccnc2cc(ccc12)-c1ccccn1,c1ccc(-c2ccc3c(Nc4ccc5[nH]ncc5c4)ccnc3c2)nc1
UNC10225008A,10086873,182,GSK223675,2-aryl-4-anilino(pyridin-4-yl)-quinazoline and analogues,Cc1cccc(n1)-c1cc(Nc2ccncc2)c2ccccc2n1,Cc1cccc(-c2cc(Nc3ccncc3)c3ccccc3n2)n1
UNC10225009A,44578630,183,GW775604,Biphenylamide,CN1CCN(CC1)c1cc(ccn1)C(=O)Nc1ccc(C)c(c1)-c1ccc(cc1)C(=O)NCC1CC1,Cc1ccc(NC(=O)c2ccnc(N3CCN(C)CC3)c2)cc1-c1ccc(C(=O)NCC2CC2)cc1
UNC10225010A,44525940,184,GSK1379735,2-anilino-4-pyrrolidinopyrimidine,COc1ccc(Nc2nccc(n2)N2CCC(C2)NC(=O)C(C)c2ccc(Cl)cc2)cc1,COc1ccc(Nc2nccc(N3CCC(NC(=O)C(C)c4ccc(Cl)cc4)C3)n2)cc1
UNC10225011A,25121268,185,GSK1627798,4-6-di-Ar-quinoline,Nc1ncc(cc1S(=O)(=O)N1CCOCC1)-c1ccc2nccc(-c3ccncc3)c2c1,Nc1ncc(-c2ccc3nccc(-c4ccncc4)c3c2)cc1S(=O)(=O)N1CCOCC1
UNC10225013A,44532197,186,GW440132,4-anilinoquinoline,Cl.COc1cc2nccc(Nc3ccc(NC(=O)c4ccc(C)cc4)c(O)c3)c2cc1OC,COc1cc2nccc(Nc3ccc(NC(=O)c4ccc(C)cc4)c(O)c3)c2cc1OC
UNC10225014A,6539455,187,SB-317661,3-anilino-4-aryl maleimide,Clc1ccc(cc1)C1=C(Nc2ccccc2)C(=O)NC1=O,O=C1NC(=O)C(c2ccc(Cl)cc2)=C1Nc1ccccc1
UNC10225015A,11427162,188,GSK301362,indole carboxamides,NC(=O)c1cc(cc2c(c[nH]c12)C1CCNCC1)-c1ccccc1,NC(=O)c1cc(-c2ccccc2)cc2c(C3CCNCC3)c[nH]c12
UNC10225016A,10161259,189,GW701424,2-aminobenzimidazole,Cl.COC(=O)Nc1nc2cc(Oc3ccc(NC(=O)Nc4cc(F)ccc4F)cc3)ccc2[nH]1,COC(=O)Nc1nc2cc(Oc3ccc(NC(=O)Nc4cc(F)ccc4F)cc3)ccc2[nH]1
UNC10225018A,46215816,190,GSK2298859,3-Amino-6-aryl-indazole,CNc1nc(cc(n1)-c1ccc2c(N)n[nH]c2c1)N1C[C@H](CC[C@H]1C)C(=O)Nc1ccccc1,CNc1nc(-c2ccc3c(N)n[nH]c3c2)cc(N2C[C@@H](C(=O)Nc3ccccc3)CC[C@H]2C)n1
UNC10225019A,44526071,191,GSK1398468,Biphenylamide,Cc1ccc(NC(=O)Nc2cccc(Cl)c2)cc1-c1ccc(cc1)C(=O)Nc1ccncc1,Cc1ccc(NC(=O)Nc2cccc(Cl)c2)cc1-c1ccc(C(=O)Nc2ccncc2)cc1
UNC10225020A,20825615,192,AH20685,imidazotriazine fragment,c1nc2nccnn2c1-c1ccccc1,c1ccc(-c2cnc3nccnn23)cc1
UNC10225021A,57394915,193,GSK1917008,Biphenylamide,Cc1ccc(NC(=O)c2cccc(c2)N2CCCCC2)cc1-c1ccc(cc1)C(=O)NCC1CC1,Cc1ccc(NC(=O)c2cccc(N3CCCCC3)c2)cc1-c1ccc(C(=O)NCC2CC2)cc1
UNC10225022A,44525924,194,GSK1379713,2-anilino-4-pyrrolidinopyrimidine,CC(C(=O)NC1CCN(C1)c1ccnc(Nc2ccc(F)cc2)n1)c1ccc(Cl)cc1,CC(C(=O)NC1CCN(c2ccnc(Nc3ccc(F)cc3)n2)C1)c1ccc(Cl)cc1
